Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debt,Free Cash Flow,Beta,P/E Ratio
AAPL,Technology,0.1793,2.20727E+12,3.23888E+11,1.13896E+11,73365000000,1.208152,29.730278
ADBE,Technology,0.175,2.71255E+11,24284000000,5500000000,5308000000,0.947826,49.183567
BA,Industrials,0.1233,1.43392E+11,1.52136E+11,75087000000,-19713000000,1.627717,
BYND,Consumer Defensive,-0.069,9266866176,468006000,,-115461000,1.61423,
CAT,Industrials,0.1906,1.17068E+11,78324000000,25674000000,4212000000,0.916304,34.17173
DIS,Communication Services,0.517,3.1562E+11,2.01549E+11,62337000000,3596000000,1.196195,
DOCU,Technology,0.56,53080850432,2336507000,972773000,214559000,0.817375,
ENPH,Technology,0.4167,22388979712,1200102000,401907000,195776000,1.145108,245.15604
ETSY,Consumer Cyclical,0.528,21767659520,2404489000,1198042000,676631000,1.548913,48.63959
FB,Communication Services,0.237,9.38481E+11,1.59316E+11,,23632000000,1.3,28.359182
GS,Financial,0.168,1.2104E+11,1.16303E+12,5.14604E+11,-20037000000,1.494021,8.849171
HD,Consumer Cyclical,0.1057,3.2691E+11,70581000000,41563000000,16376000000,1.048913,22.412888
JPM,Financial,0.0128,4.54221E+11,3.38607E+12,7.833E+11,,1.191847,11.902118
LMT,Industrials,0.0511,1.06429E+11,50710000000,15606000000,6417000000,0.980978,15.451317
MCD,Consumer Cyclical,0.2043,1.7365E+11,52626800000,39813100000,4624400000,0.627717,33.771587
MSFT,Technology,0.1673,1.97779E+12,3.01311E+11,73357000000,45234000000,0.78913,35.78632
NKE,Consumer Cyclical,0.406,2.06139E+11,31342000000,12983000000,1399000000,0.853804,60.995796
NVAX,Healthcare,0,13266603008,1582479000,574147000,-97163000,1.554891,
NVDA,Technology,0.2684,4.52762E+11,28791000000,7481000000,4694000000,1.366847,85.90366
PYPL,Financial,0.2352,3.33247E+11,70379000000,11068000000,4988000000,1.157065,64.64904
QCOM,Technology,0.2729,1.5096E+11,35594000000,18648000000,4407000000,1.341304,19.165115
SPOT,Communication Services,,46898466816,6326000000,,181000000,1.518669,
SPY,,,3.86102E+11,,,,,
SQ,Technology,0.5641,1.01726E+11,9869550000,3230475000,243201000,2.416304,327.73148
TGT,Consumer Defensive,0.1145,1.1576E+11,51248000000,14153000000,7876000000,1.003804,19.104343
TQQQ,,,,,,,,
UNP,Industrials,0.1323,1.44911E+11,62398000000,27654000000,5613000000,1.148372,28.230877
V,Financial,0.1884,5.15195E+11,80919000000,26494000000,9704000000,0.977937,48.396034
XOM,Energy,0.1014,2.63621E+11,3.3275E+11,70540000000,-2614000000,1.413678,
ZM,Communication Services,0.1538,1.08728E+11,5297993000,,1391205000,-1.475069,164.37921
